"school_name","sum_AIAN","sum_Asian","sum_BlackAA","sum_Hispanic","sum_MultiRacial","sum_NHPI","sum_Other","sum_totpop","sum_white_notHL","AIAN_prop","Asian_prop","Black_prop","Hispanic_prop","MultiRacial_prop","NHPI_prop","Other_prop","White_prop","PoC_prop","sum_rentHH","sum_ownHH","rent_prop","own_prop","mean_HHInc","sum_PopPov","sum_pov","pov_rate","school_type"
"Olympic Hills",14,4417,1989,2833,1316,19,200,25278,14490,0.000553841284911781,0.174736925389667,0.0786850225492523,0.112073740011077,0.0520610807817074,0.000751641743808846,0.00791201835588259,0.573225729883693,0.426774270116307,6176,5559,0.526288879420537,0.473711120579463,101724.217817865,25169,5054,0.200802574595733,"es"
"Olympic View",62,7638,2545,3549,3199,126,481,48489,30889,0.00127864051640578,0.157520262327538,0.0524861308750438,0.0731918579471633,0.0659737259997113,0.00259852750108272,0.00991977561921261,0.637031079213842,0.362968920786158,10298,11082,0.481665107577175,0.518334892422825,126510.495205098,48335,8730,0.180614461570291,"es"
"Rainier View",359,6862,4233,2176,942,1,303,19868,4992,0.0180692570968391,0.345379504731226,0.213056170726797,0.109522850815382,0.0474129253070264,5.0332192470304e-05,0.0152506543185021,0.251258304811758,0.748741695188242,2331,4547,0.338906658912475,0.661093341087525,102189.861385142,19855,5507,0.277360866280534,"es"
"Rising Star",126,10879,4422,2032,1505,70,113,24815,5668,0.00507757404795487,0.4384041910135,0.178198670159178,0.0818859560749547,0.0606488011283498,0.00282087447108604,0.00455369736046746,0.228410235744509,0.771589764255491,3797,5066,0.428410244838091,0.571589755161909,85729.7782792666,24583,7853,0.319448399300329,"es"
"Roxhill",116,2898,4091,3335,1657,46,151,23216,10922,0.00499655410062026,0.124827705031013,0.176214679531358,0.143650930392833,0.0713731909028256,0.00198139214334941,0.00650413507925569,0.470451412818746,0.529548587181254,4226,5308,0.44325571638347,0.55674428361653,105869.84863887,22978,5561,0.242014100443903,"es"
"Sacajawea",65,8684,3007,4504,3640,125,494,57424,36905,0.00113193089997214,0.151225968236278,0.0523648648648649,0.0784341042073001,0.0633881303984397,0.00217679019225411,0.00860267483978824,0.642675536361103,0.357324463638897,11119,13362,0.454188962869164,0.545811037130836,131168.265045974,57240,9235,0.16133822501747,"es"
"Sand Point",112,3753,380,1608,1741,44,121,29415,21656,0.00380758116607173,0.127587965323814,0.0129185789563148,0.0546659867414584,0.0591874893761686,0.00149583545809961,0.00411354750977392,0.736223015468298,0.263776984531702,2925,8509,0.255815987405982,0.744184012594018,198467.188509264,29252,2041,0.0697730069738821,"es"
"Sanislo",188,3988,3856,3624,2230,336,175,25460,11063,0.00738413197172035,0.156637863315004,0.151453260015711,0.142340926944226,0.0875883739198743,0.013197172034564,0.00687352710133543,0.434524744697565,0.565475255302435,3980,5842,0.405212787619629,0.594787212380371,115209.330871956,25230,5835,0.231272294887039,"es"
"Stevens",145,4666,2169,2385,3184,177,206,39321,26389,0.0036875969583683,0.118664326949976,0.0551613641565576,0.0606546120393683,0.0809745428651357,0.00450141145952544,0.0052389308511991,0.67111721471987,0.32888278528013,13496,8399,0.616396437542818,0.383603562457182,146918.47857379,39171,6650,0.169768451150086,"es"
"Thurgood Marshall",181,6788,5333,4036,2992,231,141,37226,17524,0.00486219309085048,0.18234567237952,0.143260087035943,0.10841884704239,0.0803739321979262,0.00620534035351636,0.00378767528071778,0.470746252619137,0.529253747380863,9001,7993,0.529657526185713,0.470342473814287,115796.955810455,36804,9129,0.248043690903163,"es"
"View Ridge",52,4943,732,2054,2122,66,230,34941,24742,0.00148822300449329,0.141467044446352,0.0209496007555594,0.0587848086774849,0.0607309464525915,0.00188889842877994,0.00658252482756647,0.708107953407172,0.291892046592828,4353,9858,0.306312011821828,0.693687988178172,173672.156635471,34740,3331,0.0958837075417386,"es"
"Viewlands",231,5964,1985,4348,3727,143,320,46408,29690,0.00497759007067747,0.128512325461127,0.0427727977934839,0.0936907429753491,0.0803094294087226,0.00308136528184796,0.00689536286847095,0.639760386140321,0.360239613859679,10975,10456,0.512108627688862,0.487891372311138,117663.981598,45925,7446,0.162133913990201,"es"
"Wedgwood",43,4664,666,1950,2060,65,157,34001,24396,0.00126466868621511,0.13717243610482,0.0195876591864945,0.0573512543748713,0.0605864533396077,0.00191170847916238,0.00461751124966913,0.717508308579159,0.282491691420841,4514,8910,0.336263408820024,0.663736591179976,159921.257374783,33821,3779,0.111735312379882,"es"
"West Seattle Elem",68,2740,3594,2251,1940,18,119,22870,12140,0.00297332750327941,0.119807608220376,0.157149103629209,0.0984258854394403,0.084827284652383,0.000787057280279843,0.00520332313073896,0.530826410144294,0.469173589855706,3658,5953,0.380605556133597,0.619394443866403,124167.151071272,22744,4785,0.210385156524798,"es"
"West Woodland",39,4847,989,3632,3478,95,60,50361,37221,0.000774408768690058,0.096245110303608,0.0196382121085761,0.0721192986636485,0.0690613768590775,0.0018863803339886,0.00119139810567701,0.739083814856734,0.260916185143266,12865,11593,0.526003761550413,0.473996238449587,142353.332320645,49894,4936,0.0989297310297831,"es"
"Whittier",47,2968,466,2189,2301,73,112,33411,25255,0.0014067223369549,0.0888330190655772,0.0139475023195953,0.065517344587112,0.0688695339858131,0.00218490916165335,0.00335218939870103,0.755888779144593,0.244111220855407,5919,8613,0.407308009909166,0.592691990090834,163078.898686061,33217,2856,0.085980070445856,"es"
"Wing Luke",81,7530,3819,1038,728,19,113,15610,2282,0.00518898142216528,0.482383087764254,0.244650864830237,0.0664958360025625,0.0466367713004484,0.00121716848174247,0.00723894939141576,0.146188340807175,0.853811659192825,2092,2828,0.42520325203252,0.57479674796748,74118.5469570788,15597,5958,0.38199653779573,"es"
