GEOID,NAME,RentHH,CBrent
53033030802,Census Tract 308.02; King County; Washington,824,396
53033030901,Census Tract 309.01; King County; Washington,216,121
53033030902,Census Tract 309.02; King County; Washington,933,550
53033031000,Census Tract 310; King County; Washington,272,106
53033031101,Census Tract 311.01; King County; Washington,906,471
53033031102,Census Tract 311.02; King County; Washington,314,190
53033031202,Census Tract 312.02; King County; Washington,364,36
53033031204,Census Tract 312.04; King County; Washington,136,32
53033031206,Census Tract 312.06; King County; Washington,776,351
53033031207,Census Tract 312.07; King County; Washington,540,409
53033031208,Census Tract 312.08; King County; Washington,323,46
53033031301,Census Tract 313.01; King County; Washington,79,28
53033031302,Census Tract 313.02; King County; Washington,343,238
53033031400,Census Tract 314; King County; Washington,758,344
53033031501,Census Tract 315.01; King County; Washington,223,74
53033031502,Census Tract 315.02; King County; Washington,350,154
53033031601,Census Tract 316.01; King County; Washington,231,26
53033031603,Census Tract 316.03; King County; Washington,496,79
53033031604,Census Tract 316.04; King County; Washington,172,75
53033031605,Census Tract 316.05; King County; Washington,175,14
53033031704,Census Tract 317.04; King County; Washington,575,347
53033031705,Census Tract 317.05; King County; Washington,165,64
53033031707,Census Tract 317.07; King County; Washington,51,0
53033031708,Census Tract 317.08; King County; Washington,275,213
53033031709,Census Tract 317.09; King County; Washington,127,85
53033031710,Census Tract 317.10; King County; Washington,677,403
53033031800,Census Tract 318; King County; Washington,151,32
53033031904,Census Tract 319.04; King County; Washington,71,8
53033031906,Census Tract 319.06; King County; Washington,154,36
53033031908,Census Tract 319.08; King County; Washington,768,419
53033031909,Census Tract 319.09; King County; Washington,371,114
53033031910,Census Tract 319.10; King County; Washington,167,40
53033031911,Census Tract 319.11; King County; Washington,56,16
53033031912,Census Tract 319.12; King County; Washington,181,120
53033031913,Census Tract 319.13; King County; Washington,118,53
53033032002,Census Tract 320.02; King County; Washington,173,119
53033032003,Census Tract 320.03; King County; Washington,133,0
53033032005,Census Tract 320.05; King County; Washington,341,61
53033032006,Census Tract 320.06; King County; Washington,296,118
53033032007,Census Tract 320.07; King County; Washington,296,183
53033032008,Census Tract 320.08; King County; Washington,93,39
53033032010,Census Tract 320.10; King County; Washington,463,329
53033032011,Census Tract 320.11; King County; Washington,271,97
53033032102,Census Tract 321.02; King County; Washington,96,33
53033032103,Census Tract 321.03; King County; Washington,1400,562
53033032104,Census Tract 321.04; King County; Washington,850,268
53033032207,Census Tract 322.07; King County; Washington,97,54
53033032211,Census Tract 322.11; King County; Washington,374,76
53033032213,Census Tract 322.13; King County; Washington,58,2
53033032215,Census Tract 322.15; King County; Washington,135,8
53033032216,Census Tract 322.16; King County; Washington,299,163
53033032217,Census Tract 322.17; King County; Washington,226,0
53033032218,Census Tract 322.18; King County; Washington,227,67
53033032219,Census Tract 322.19; King County; Washington,965,229
53033032220,Census Tract 322.20; King County; Washington,2042,516
53033032221,Census Tract 322.21; King County; Washington,319,98
53033032222,Census Tract 322.22; King County; Washington,864,557
53033032223,Census Tract 322.23; King County; Washington,159,17
53033032224,Census Tract 322.24; King County; Washington,202,8
53033032225,Census Tract 322.25; King County; Washington,269,168
53033032307,Census Tract 323.07; King County; Washington,243,173
53033032311,Census Tract 323.11; King County; Washington,196,48
53033032313,Census Tract 323.13; King County; Washington,2145,577
53033032315,Census Tract 323.15; King County; Washington,129,63
53033032316,Census Tract 323.16; King County; Washington,189,10
53033032317,Census Tract 323.17; King County; Washington,334,55
53033032318,Census Tract 323.18; King County; Washington,304,103
53033032319,Census Tract 323.19; King County; Washington,1948,1021
53033032320,Census Tract 323.20; King County; Washington,95,0
53033032321,Census Tract 323.21; King County; Washington,128,27
53033032322,Census Tract 323.22; King County; Washington,40,4
53033032323,Census Tract 323.23; King County; Washington,813,254
53033032324,Census Tract 323.24; King County; Washington,1165,357
53033032325,Census Tract 323.25; King County; Washington,1346,497
53033032326,Census Tract 323.26; King County; Washington,136,101
53033032327,Census Tract 323.27; King County; Washington,66,26
53033032328,Census Tract 323.28; King County; Washington,19,14
53033032330,Census Tract 323.30; King County; Washington,2130,732
53033032331,Census Tract 323.31; King County; Washington,3629,852
53033032332,Census Tract 323.32; King County; Washington,620,217
53033032333,Census Tract 323.33; King County; Washington,334,242
53033032401,Census Tract 324.01; King County; Washington,201,50
53033032402,Census Tract 324.02; King County; Washington,236,65
53033032500,Census Tract 325; King County; Washington,201,49
53033032601,Census Tract 326.01; King County; Washington,168,62
53033032603,Census Tract 326.03; King County; Washington,89,16
53033032604,Census Tract 326.04; King County; Washington,236,31
53033032605,Census Tract 326.05; King County; Washington,189,27
53033032703,Census Tract 327.03; King County; Washington,277,142
53033032704,Census Tract 327.04; King County; Washington,558,317
53033032705,Census Tract 327.05; King County; Washington,232,61
53033032706,Census Tract 327.06; King County; Washington,66,18
53033032800,Census Tract 328; King County; Washington,117,63
53033990100,Census Tract 9901; King County; Washington,0,0
